n : 1.0
freq : 83.33 MHz
SWR : 9.207
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  5  70   -21.520     0.007047      -3361.127
 10  70   -19.370     0.011562      -3364.259
 15  70   -17.125     0.019386      -3365.322
 20  70   -14.685     0.033999      -3365.429
 25  70   -13.841     0.041291      -3364.843
 30  70   -13.605     0.043601      -3364.745
 35  70   -11.786     0.066282      -3364.395
 40  70   -10.535     0.088400      -3363.269
 45  70   -11.094     0.077724      -3363.818
 50  70   -10.456     0.090031      -3361.596
 55  70    -9.390     0.115079      -3360.211
 60  70    -9.508     0.111988      -3361.060
 65  70    -8.881     0.129383      -3363.670
 70  70   -10.057     0.098705      -3363.217
 75  70   -10.105     0.097620      -3362.540
 80  70   -10.262     0.094149      -3363.050
 85  70   -11.472     0.071253      -3361.426
 90  70   -11.750     0.066827      -3363.795
 95  70   -11.597     0.069239      -3365.985
100  70   -10.617     0.086747      -3364.543
105  70    -9.870     0.103040      -3362.238
110  70    -9.809     0.104492      -3363.590
115  70    -9.183     0.120700      -3365.170
120  70    -9.272     0.118238      -3364.836
125  70    -9.610     0.109400      -3361.438
130  70    -9.665     0.108009      -3362.300
135  70   -10.795     0.083276      -3360.630
140  70   -10.932     0.080692      -3358.851
145  70   -11.472     0.071256      -3359.205
150  70   -13.900     0.040735      -3001.397
155  70   -13.950     0.040274      -3001.117
160  70   -14.780     0.033265      -3002.423
165  70   -16.851     0.020650      -3362.547
170  70   -19.245     0.011900      -3004.559
175  70   -21.426     0.007200      -3007.170
180  70   -22.711     0.005356      -3008.948
  0  75   -23.663     0.004302      -3358.162
  5  75   -21.520     0.007047      -3361.127
 10  75   -19.370     0.011562      -3364.259
 15  75   -17.125     0.019386      -3365.322
 20  75   -14.685     0.033999      -3365.429
 25  75   -13.841     0.041291      -3364.843
 30  75   -13.605     0.043601      -3364.745
 35  75   -11.786     0.066282      -3364.395
 40  75   -10.535     0.088400      -3363.269
 45  75   -11.094     0.077724      -3363.818
 50  75   -10.456     0.090031      -3361.596
 55  75    -9.390     0.115079      -3360.211
 60  75    -9.508     0.111988      -3361.060
 65  75    -8.881     0.129383      -3363.670
 70  75   -10.057     0.098705      -3363.217
 75  75   -10.105     0.097620      -3362.540
 80  75   -10.262     0.094149      -3363.050
 85  75   -11.472     0.071253      -3361.426
 90  75   -11.750     0.066827      -3363.795
 95  75   -11.597     0.069239      -3365.985
100  75   -10.617     0.086747      -3364.543
105  75    -9.870     0.103040      -3362.238
110  75    -9.809     0.104492      -3363.590
115  75    -9.183     0.120700      -3365.170
120  75    -9.272     0.118238      -3364.836
125  75    -9.610     0.109400      -3361.438
130  75    -9.665     0.108009      -3362.300
135  75   -10.795     0.083276      -3360.630
140  75   -10.932     0.080692      -3358.851
145  75   -11.472     0.071256      -3359.205
150  75   -13.900     0.040735      -3001.397
155  75   -13.950     0.040274      -3001.117
160  75   -14.780     0.033265      -3002.423
165  75   -16.851     0.020650      -3362.547
170  75   -19.245     0.011900      -3004.559
175  75   -21.426     0.007200      -3007.170
180  75   -22.711     0.005356      -3008.948
  0  80   -23.663     0.004302      -3358.162
  5  80   -21.520     0.007047      -3361.127
 10  80   -19.370     0.011562      -3364.259
 15  80   -17.125     0.019386      -3365.322
 20  80   -14.685     0.033999      -3365.429
 25  80   -13.841     0.041291      -3364.843
 30  80   -13.605     0.043601      -3364.745
 35  80   -11.786     0.066282      -3364.395
 40  80   -10.535     0.088400      -3363.269
 45  80   -11.094     0.077724      -3363.818
 50  80   -10.456     0.090031      -3361.596
 55  80    -9.390     0.115079      -3360.211
 60  80    -9.508     0.111988      -3361.060
 65  80    -8.881     0.129383      -3363.670
 70  80   -10.057     0.098705      -3363.217
 75  80   -10.105     0.097620      -3362.540
 80  80   -10.262     0.094149      -3363.050
 85  80   -11.472     0.071253      -3361.426
 90  80   -11.750     0.066827      -3363.795
 95  80   -11.597     0.069239      -3365.985
100  80   -10.617     0.086747      -3364.543
105  80    -9.870     0.103040      -3362.238
110  80    -9.809     0.104492      -3363.590
115  80    -9.183     0.120700      -3365.170
120  80    -9.272     0.118238      -3364.836
125  80    -9.610     0.109400      -3361.438
130  80    -9.665     0.108009      -3362.300
135  80   -10.795     0.083276      -3360.630
140  80   -10.932     0.080692      -3358.851
145  80   -11.472     0.071256      -3359.205
150  80   -13.900     0.040735      -3001.397
155  80   -13.950     0.040274      -3001.117
160  80   -14.780     0.033265      -3002.423
165  80   -16.851     0.020650      -3362.547
170  80   -19.245     0.011900      -3004.559
175  80   -21.426     0.007200      -3007.170
180  80   -22.711     0.005356      -3008.948
  0  85   -23.663     0.004302      -3358.162
  5  85   -21.520     0.007047      -3361.127
 10  85   -19.370     0.011562      -3364.259
 15  85   -17.125     0.019386      -3365.322
 20  85   -14.685     0.033999      -3365.429
 25  85   -13.841     0.041291      -3364.843
 30  85   -13.605     0.043601      -3364.745
 35  85   -11.786     0.066282      -3364.395
 40  85   -10.535     0.088400      -3363.269
 45  85   -11.094     0.077724      -3363.818
 50  85   -10.456     0.090031      -3361.596
 55  85    -9.390     0.115079      -3360.211
 60  85    -9.508     0.111988      -3361.060
 65  85    -8.881     0.129383      -3363.670
 70  85   -10.057     0.098705      -3363.217
 75  85   -10.105     0.097620      -3362.540
 80  85   -10.262     0.094149      -3363.050
 85  85   -11.472     0.071253      -3361.426
 90  85   -11.750     0.066827      -3363.795
 95  85   -11.597     0.069239      -3365.985
100  85   -10.617     0.086747      -3364.543
105  85    -9.870     0.103040      -3362.238
110  85    -9.809     0.104492      -3363.590
115  85    -9.183     0.120700      -3365.170
120  85    -9.272     0.118238      -3364.836
125  85    -9.610     0.109400      -3361.438
130  85    -9.665     0.108009      -3362.300
135  85   -10.795     0.083276      -3360.630
140  85   -10.932     0.080692      -3358.851
145  85   -11.472     0.071256      -3359.205
150  85   -13.900     0.040735      -3001.397
155  85   -13.950     0.040274      -3001.117
160  85   -14.780     0.033265      -3002.423
165  85   -16.851     0.020650      -3362.547
170  85   -19.245     0.011900      -3004.559
175  85   -21.426     0.007200      -3007.170
180  85   -22.711     0.005356      -3008.948
