n : 1.0
freq : 83.33 MHz
SWR : 24.444
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
180  65   -28.635     0.001369      -3415.233
  0  70   -28.302     0.001479      -3770.859
  5  70   -28.410     0.001442      -3770.873
 10  70   -27.483     0.001785      -3409.606
 15  70   -25.535     0.002796      -3768.498
 20  70   -23.115     0.004880      -3409.256
 25  70   -20.204     0.009540      -3769.696
 30  70   -18.679     0.013554      -3409.038
 35  70   -17.935     0.016089      -3408.364
 40  70   -16.706     0.021351      -3410.216
 45  70   -17.368     0.018330      -3407.830
 50  70   -16.307     0.023407      -3408.454
 55  70   -16.275     0.023579      -3408.951
 60  70   -14.503     0.035460      -3411.378
 65  70   -13.752     0.042153      -3052.213
 70  70   -13.639     0.043263      -3413.367
 75  70   -13.219     0.047657      -3412.018
 80  70   -13.625     0.043400      -3412.200
 85  70   -12.646     0.054375      -3410.851
 90  70   -12.034     0.062602      -3409.533
 95  70   -12.657     0.054242      -3409.308
100  70   -13.120     0.048749      -3769.791
105  70   -13.374     0.045983      -3770.802
110  70   -13.392     0.045798      -3772.312
115  70   -14.050     0.039358      -3772.234
120  70   -13.566     0.043998      -3771.421
125  70   -15.157     0.030497      -3770.640
130  70   -16.560     0.022080      -3770.816
135  70   -16.226     0.023848      -3769.694
140  70   -16.203     0.023973      -3407.201
145  70   -17.605     0.017358      -3408.219
150  70   -18.432     0.014350      -3407.700
155  70   -19.602     0.010960      -3768.228
160  70   -21.554     0.006992      -3769.930
165  70   -23.873     0.004100      -3771.675
170  70   -28.102     0.001548      -3774.024
175  70   -31.875     0.000649      -3413.588
180  70   -28.635     0.001369      -3415.233
  0  75   -28.302     0.001479      -3770.859
  5  75   -28.410     0.001442      -3770.873
 10  75   -27.483     0.001785      -3409.606
 15  75   -25.535     0.002796      -3768.498
 20  75   -23.115     0.004880      -3409.256
 25  75   -20.204     0.009540      -3769.696
 30  75   -18.679     0.013554      -3409.038
 35  75   -17.935     0.016089      -3408.364
 40  75   -16.706     0.021351      -3410.216
 45  75   -17.368     0.018330      -3407.830
 50  75   -16.307     0.023407      -3408.454
 55  75   -16.275     0.023579      -3408.951
 60  75   -14.503     0.035460      -3411.378
 65  75   -13.752     0.042153      -3052.213
 70  75   -13.639     0.043263      -3413.367
 75  75   -13.219     0.047657      -3412.018
 80  75   -13.625     0.043400      -3412.200
 85  75   -12.646     0.054375      -3410.851
 90  75   -12.034     0.062602      -3409.533
 95  75   -12.657     0.054242      -3409.308
100  75   -13.120     0.048749      -3769.791
105  75   -13.374     0.045983      -3770.802
110  75   -13.392     0.045798      -3772.312
115  75   -14.050     0.039358      -3772.234
120  75   -13.566     0.043998      -3771.421
125  75   -15.157     0.030497      -3770.640
130  75   -16.560     0.022080      -3770.816
135  75   -16.226     0.023848      -3769.694
140  75   -16.203     0.023973      -3407.201
145  75   -17.605     0.017358      -3408.219
150  75   -18.432     0.014350      -3407.700
155  75   -19.602     0.010960      -3768.228
160  75   -21.554     0.006992      -3769.930
165  75   -23.873     0.004100      -3771.675
170  75   -28.102     0.001548      -3774.024
175  75   -31.875     0.000649      -3413.588
180  75   -28.635     0.001369      -3415.233
  0  80   -28.302     0.001479      -3770.859
  5  80   -28.410     0.001442      -3770.873
 10  80   -27.483     0.001785      -3409.606
 15  80   -25.535     0.002796      -3768.498
 20  80   -23.115     0.004880      -3409.256
 25  80   -20.204     0.009540      -3769.696
 30  80   -18.679     0.013554      -3409.038
 35  80   -17.935     0.016089      -3408.364
 40  80   -16.706     0.021351      -3410.216
 45  80   -17.368     0.018330      -3407.830
 50  80   -16.307     0.023407      -3408.454
 55  80   -16.275     0.023579      -3408.951
 60  80   -14.503     0.035460      -3411.378
 65  80   -13.752     0.042153      -3052.213
 70  80   -13.639     0.043263      -3413.367
 75  80   -13.219     0.047657      -3412.018
 80  80   -13.625     0.043400      -3412.200
 85  80   -12.646     0.054375      -3410.851
 90  80   -12.034     0.062602      -3409.533
