Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
400.343643,5.09272e-07,1.23926e-07,3.06645e-07,1.4063e-07,3.66638e-07,2.52091e-07,1.57857e-07,3.15371e-07,2.61077e-07,1.78057e-07,2.35589e-07,1.72765e-07,2.08939e-07,2.33284e-07,2.1954e-07,1.74473e-07
401.202749,5.21618e-07,1.19696e-07,3.05445e-07,1.24988e-07,3.77429e-07,2.56112e-07,1.41645e-07,3.17898e-07,2.66051e-07,1.76124e-07,2.34314e-07,1.73838e-07,2.13225e-07,2.33764e-07,2.2179e-07,1.74507e-07
402.061856,5.35215e-07,1.12079e-07,3.02056e-07,9.98202e-08,3.88159e-07,2.59988e-07,1.1619e-07,3.19237e-07,2.71386e-07,1.72975e-07,2.31654e-07,1.75044e-07,2.17862e-07,2.33659e-07,2.24408e-07,1.74422e-07
402.920962,5.43836e-07,1.04469e-07,2.99069e-07,7.38289e-08,3.94962e-07,2.62204e-07,9.05664e-08,3.18601e-07,2.74505e-07,1.703e-07,2.28949e-07,1.7593e-07,2.20218e-07,2.31608e-07,2.24596e-07,1.74135e-07
403.780069,5.44719e-07,9.97541e-08,2.979e-07,5.89331e-08,3.95052e-07,2.61174e-07,7.60504e-08,3.17287e-07,2.73658e-07,1.68624e-07,2.27088e-07,1.76122e-07,2.18608e-07,2.27848e-07,2.22041e-07,1.73976e-07
404.639175,5.41586e-07,9.82453e-08,2.98685e-07,5.89388e-08,3.90584e-07,2.57916e-07,7.56077e-08,3.17752e-07,2.70436e-07,1.68002e-07,2.26739e-07,1.75922e-07,2.14558e-07,2.23834e-07,2.18149e-07,1.74753e-07
405.498282,5.42085e-07,9.85419e-08,3.01145e-07,6.31579e-08,3.8754e-07,2.55488e-07,7.96616e-08,3.21658e-07,2.67912e-07,1.68238e-07,2.27588e-07,1.76217e-07,2.11216e-07,2.22397e-07,2.15425e-07,1.76874e-07
406.357388,5.50393e-07,9.93793e-08,3.05606e-07,6.39027e-08,3.90193e-07,2.56865e-07,8.09868e-08,3.28084e-07,2.69337e-07,1.6945e-07,2.30033e-07,1.77992e-07,2.11517e-07,2.23413e-07,2.15875e-07,1.79619e-07
407.216495,5.65611e-07,1.00572e-07,3.12272e-07,6.18473e-08,4.00048e-07,2.62881e-07,7.97345e-08,3.34718e-07,2.75044e-07,1.71697e-07,2.33259e-07,1.81429e-07,2.15405e-07,2.26331e-07,2.19592e-07,1.82445e-07
408.075601,5.82173e-07,1.02095e-07,3.19864e-07,6.0445e-08,4.13069e-07,2.70727e-07,7.91666e-08,3.39909e-07,2.82418e-07,1.74669e-07,2.36714e-07,1.85731e-07,2.20777e-07,2.29503e-07,2.23983e-07,1.84889e-07
