 10000 6 1 0.0 0.0
 0.13879E+00 0.00000E+00 0.00000E+00 0.51252E+00 0.34869E+00 0.00000E+00
 0.45511E-01 0.00000E+00 0.00000E+00 0.43872E-01 0.91062E+00 0.00000E+00
 0.22184E+00 0.00000E+00 0.00000E+00 0.77816E+00 0.00000E+00 0.00000E+00
 0.44373E+00 0.00000E+00 0.00000E+00 0.32422E+00 0.23205E+00 0.00000E+00
 0.13381E+00 0.00000E+00 0.72329E+00 0.00000E+00 0.14290E+00 0.00000E+00
 0.74204E+00 0.00000E+00 0.23989E+00 0.00000E+00 0.18077E-01 0.00000E+00
 0.13793E+00 0.00000E+00 0.00000E+00 0.86207E+00 0.00000E+00 0.00000E+00
 0.34934E+00 0.00000E+00 0.00000E+00 0.65066E+00 0.00000E+00 0.00000E+00
 0.64647E-01 0.00000E+00 0.00000E+00 0.86780E+00 0.67551E-01 0.00000E+00
 0.74783E-01 0.22781E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.69741E+00
 0.67626E+00 0.00000E+00 0.31572E+00 0.00000E+00 0.80161E-02 0.00000E+00
 0.69067E+00 0.00000E+00 0.00000E+00 0.17715E+00 0.13217E+00 0.00000E+00
 0.10199E+00 0.00000E+00 0.39874E+00 0.00000E+00 0.49927E+00 0.00000E+00
 0.47203E+00 0.00000E+00 0.00000E+00 0.52797E+00 0.00000E+00 0.00000E+00
 0.28329E+00 0.00000E+00 0.00000E+00 0.71671E+00 0.00000E+00 0.00000E+00
 0.98191E-01 0.00000E+00 0.54266E+00 0.00000E+00 0.35915E+00 0.00000E+00
 0.54846E+00 0.00000E+00 0.00000E+00 0.45154E+00 0.00000E+00 0.00000E+00
 0.33834E+00 0.39860E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.26306E+00
 0.20886E+00 0.00000E+00 0.00000E+00 0.93273E-01 0.69786E+00 0.00000E+00
 0.18197E+00 0.00000E+00 0.52709E+00 0.00000E+00 0.29094E+00 0.00000E+00
 0.36717E+00 0.13239E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.50044E+00
 0.34660E-01 0.00000E+00 0.71894E+00 0.00000E+00 0.24640E+00 0.00000E+00
 0.30013E+00 0.56087E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.13899E+00
 0.57843E+00 0.00000E+00 0.00000E+00 0.33907E+00 0.82494E-01 0.00000E+00
 0.34212E+00 0.00000E+00 0.00000E+00 0.65788E+00 0.00000E+00 0.00000E+00
 0.18199E+00 0.00000E+00 0.00000E+00 0.61534E+00 0.20267E+00 0.00000E+00
 0.37241E-01 0.00000E+00 0.00000E+00 0.62676E+00 0.33600E+00 0.00000E+00
 0.93123E-01 0.00000E+00 0.00000E+00 0.59785E+00 0.30903E+00 0.00000E+00
 0.57324E-01 0.00000E+00 0.00000E+00 0.11304E+00 0.82963E+00 0.00000E+00
 0.18221E+00 0.41579E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.40201E+00
 0.14805E+00 0.00000E+00 0.00000E+00 0.85195E+00 0.00000E+00 0.00000E+00
 0.47401E+00 0.00000E+00 0.00000E+00 0.50570E+00 0.20291E-01 0.00000E+00
 0.72398E+00 0.00000E+00 0.00000E+00 0.10573E+00 0.17029E+00 0.00000E+00
 0.83225E-01 0.61226E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.30451E+00
 0.78286E+00 0.00000E+00 0.18763E+00 0.00000E+00 0.29511E-01 0.00000E+00
 0.27907E-01 0.00000E+00 0.00000E+00 0.21308E+00 0.75901E+00 0.00000E+00
 0.33866E+00 0.00000E+00 0.17791E+00 0.00000E+00 0.48343E+00 0.00000E+00
 0.30978E-01 0.00000E+00 0.00000E+00 0.75624E+00 0.21278E+00 0.00000E+00
 0.61012E+00 0.00000E+00 0.00000E+00 0.28568E+00 0.10420E+00 0.00000E+00
 0.34650E+00 0.00000E+00 0.29916E+00 0.00000E+00 0.35434E+00 0.00000E+00
