Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)\n
261.72,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45,5560.963,0.45\n
265.62,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397,5550.729,0.397\n
269.53,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345,5557.763,0.345\n
273.44,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294,5571.216,0.294\n
277.34,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244,5584.059,0.244\n
281.25,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194,5597.576,0.194\n
285.16,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145,5608.542,0.145\n
289.06,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096,5618.236,0.096\n
292.97,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048,5627.947,0.048\n
296.87,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0,5637.026,0\n
300.78,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047,5645.469,-0.047\n
304.69,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094,5647.419,-0.094\n
308.59,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14,5650.02,-0.14\n
312.5,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186,5652.623,-0.186\n
316.41,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231,5655.226,-0.231\n
320.31,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277,5627.947,-0.277\n
324.22,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321,5598.22,-0.321\n
328.12,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366,5568.651,-0.366\n
332.03,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41,5539.238,-0.41\n
335.94,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454,5516.327,-0.454\n
