realTime 	 junk 	 GPS LAT 	 GPS LONG 	 GPS ALT 	 heading 	 junk 	 junk 	 junk
-202428	0	-77.8618	167.063	-26.8	999	0	0	0
-202418	0	-77.8618	167.063	-26.67	999	0	0	0
-202405	0	-77.8618	167.063	-26.51	999	0	0	0
-202397	0	-77.8618	167.063	-26.5	999	0	0	0
-202387	0	-77.8618	167.063	-26.57	999	0	0	0
-202376	0	-77.8618	167.063	-27.04	45.2033	0	0	0
-202366	0	-77.8617	167.063	-27.5	999	0	0	0
-202354	0	-77.8617	167.063	-28.13	999	0	0	0
-202340	0	-77.8617	167.063	-28.48	999	0	0	0
-202330	0	-77.8617	167.063	-28.94	999	0	0	0
-202318	0	-77.8617	167.063	-29.55	999	0	0	0
-202306	0	-77.8617	167.063	-29.78	999	0	0	0
-202296	0	-77.8617	167.063	-29.84	999	0	0	0
-202283	0	-77.8617	167.063	-30	999	0	0	0
-202271	0	-77.8617	167.063	-30.27	999	0	0	0
-202261	0	-77.8617	167.063	-30.66	999	0	0	0
-202246	0	-77.8617	167.063	-31.28	999	0	0	0
-202236	0	-77.8617	167.063	-31.44	999	0	0	0
-202226	0	-77.8617	167.063	-31.52	999	0	0	0
-202215	0	-77.8617	167.063	-31.56	999	0	0	0
-202205	0	-77.8617	167.063	-31.65	999	0	0	0
-202195	0	-77.8617	167.063	-31.66	999	0	0	0
-202185	0	-77.8617	167.063	-31.64	999	0	0	0
-202173	0	-77.8617	167.063	-31.62	999	0	0	0
-202162	0	-77.8617	167.063	-31.69	999	0	0	0
-202151	0	-77.8617	167.063	-31.84	999	0	0	0
