# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
226.453,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214,1.16214
228.457,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057,1.16057
230.461,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908,1.15908
232.465,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577,1.1577
234.469,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645,1.15645
236.473,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533,1.15533
238.477,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436,1.15436
240.481,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355,1.15355
242.485,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293,1.15293
244.489,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249,1.15249
246.493,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226,1.15226
248.497,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225,1.15225
250.501,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248,1.15248
252.505,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321,1.15321
254.509,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545,1.1545
256.513,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629,1.15629
258.517,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855,1.15855
260.521,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123,1.16123
262.525,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428,1.16428
264.529,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765,1.16765
266.533,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129,1.17129
268.537,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517,1.17517
270.541,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923,1.17923
272.545,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342,1.18342
274.549,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877,1.1877
276.553,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201,1.19201
278.557,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631,1.19631
280.561,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054,1.20054
282.565,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465,1.20465
284.569,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086,1.2086
286.573,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231,1.21231
288.577,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576,1.21576
290.581,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887,1.21887
292.585,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216,1.2216
294.589,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388,1.22388
296.593,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568,1.22568
298.597,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692,1.22692
300.601,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759,1.22759
302.605,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803,1.22803
